image_size	num_channels	num_augment	filter_size1	num_filters1	filter_size2	num_filters2	fc_size	optimization_iterations	test_acc	time
100	1	1	10	16	10	36	128	100	0.6405405405405405	0:03:53
100	1	10	10	16	10	36	128	100	0.6251351351351352	0:03:53
100	1	20	10	16	10	36	128	100	0.5890540540540541	0:03:54
100	1	30	10	16	10	36	128	100	0.5567567567567567	0:03:55
100	1	40	10	16	10	36	128	100	0.5619594594594595	0:04:00
100	1	1	4	16	10	36	128	100	0.6945945945945946	0:09:56
100	1	1	8	16	10	36	128	100	0.6837837837837838	0:03:46
100	1	1	24	16	10	36	128	100	0.5297297297297298	0:07:20
100	1	1	32	16	10	36	128	100	0.6513513513513514	0:11:51
100	1	1	10	5	10	36	128	100	0.5216216216216216	0:02:30
100	1	1	10	15	10	36	128	100	0.6459459459459459	0:04:41
100	1	1	10	20	10	36	128	100	0.7135135135135136	0:05:25
100	1	1	10	30	10	36	128	100	0.6162162162162163	0:07:30
100	1	1	10	16	5	36	128	100	0.4945945945945946	0:02:29
100	1	1	10	16	15	36	128	100	0.6378378378378379	0:07:53
100	1	1	10	16	20	36	128	100	0.654054054054054	0:12:42
100	1	1	10	16	30	36	128	100	0.6459459459459459	0:25:05
100	1	1	10	16	10	16	128	100	0.5486486486486486	0:04:02
100	1	1	10	16	10	24	128	100	0.6810810810810811	0:04:42
100	1	1	10	16	10	48	128	100	0.6567567567567567	0:06:08
100	1	1	10	16	10	64	128	100	0.6648648648648648	0:06:48
100	1	1	10	16	10	36	1	100	0.527027027027027	0:03:52
100	1	1	10	16	10	36	64	100	0.6216216216216216	0:05:19
100	1	1	10	16	10	36	96	100	0.6135135135135135	0:04:44
100	1	1	10	16	10	36	256	100	0.6783783783783783	0:06:50
100	1	1	10	16	10	36	512	100	0.5243243243243243	0:05:24
100	1	1	10	16	10	36	128	25	0.6648648648648648	0:02:29
100	1	1	10	16	10	36	128	50	0.6621621621621622	0:03:24
100	1	1	10	16	10	36	128	200	0.6567567567567567	0:11:15
100	1	1	10	16	10	36	128	400	0.6108108108108108	0:46:30
100	1	1	10	16	10	36	128	800	0.6351351351351351	1:53:36
100	1	1	10	16	10	36	128	1000	0.7108108108108108	2:04:03
1	1	1	10	16	10	36	128	100	0.5432432432432432	0:02:06
10	1	1	10	16	10	36	128	100	0.6837837837837838	0:03:37
25	1	1	10	16	10	36	128	100	0.6567567567567567	0:02:11
50	1	1	10	16	10	36	128	100	0.6594594594594595	0:03:38
200	1	1	10	16	10	36	128	100	0.6405405405405405	0:18:46
